pub_ID,included,sp_name,genus,species,clone.strain,study_type,polymer,size_um_mean,size_um_SD,size_nm_mean,size_nm_sd,particles_per_mg,shape,color,fluorescence,modified,mod_type,surface_charge,surfactant,biotic_env,weathered,density_gcm-3,excitation_nm,emission_nm,company,MP_comments,age_d,generation,age_comment,food_source,food_present,temperature,pH,DOC_added,DOC_type,other_added,other_type,exp_time_h,exp_time_d,conc_p_ml-1,conc_mg_ml-1,conc_mg_l-1,conc_ppm,extracted_by,c_n_replicates,c_mean,c_SD,c_SE,c_ind_per_replicate,c_n_individuals,c_dead,c_alive,t_n_replicates,t_mean,t_SD,t_SE,t_ind_per_replicate,t_n_individuals,t_dead,t_alive,data_comment
Al-Jaibachi2020,no,Daphnia magna,Daphnia,magna,NA,lab,PS,15,NA,1.5e4,NA,NA,spherical,green,yes,yes,carboxylated,negative,no,no,no,1.06,470,505,"Sigma-Aldrich,UK",,18,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,100,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not possible to extract data: plot is model output, no raw data provided"
Al-Jaibachi2020,no,Daphnia magna,Daphnia,magna,NA,lab,PS,15,NA,1.5e4,NA,NA,spherical,green,yes,yes,carboxylated,negative,no,no,no,1.06,470,505,"Sigma-Aldrich,UK",,18,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,800,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not possible to extract data: plot is model output, no raw data provided"
Al-Jaibachi2020,no,Daphnia magna,Daphnia,magna,NA,lab,PS,15,NA,1.5e4,NA,NA,spherical,green,yes,yes,carboxylated,negative,no,no,no,1.06,470,505,"Sigma-Aldrich,UK",,0,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,100,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data extraction not possible: figure display model output (?); raw data not provided
Al-Jaibachi2020,no,Daphnia magna,Daphnia,magna,NA,lab,PS,15,NA,1.5e4,NA,NA,spherical,green,yes,yes,carboxylated,negative,no,no,no,1.06,470,505,"Sigma-Aldrich,UK",,0,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,800,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data extraction not possible: figure display model output (?); raw data not provided
Al-Jaibachi2020,no,Daphnia magna,Daphnia,magna,NA,lab,PS,15,NA,1.5e4,NA,NA,spherical,green,yes,yes,carboxylated,negative,no,no,no,1.06,470,505,"Sigma-Aldrich,UK",,0,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,100,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data extraction not possible: figure display model output (?); raw data not provided
Al-Jaibachi2020,no,Daphnia magna,Daphnia,magna,NA,lab,PS,15,NA,1.5e4,NA,NA,spherical,green,yes,yes,carboxylated,negative,no,no,no,1.06,470,505,"Sigma-Aldrich,UK",,0,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,800,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data extraction not possible: figure display model output (?); raw data not provided
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,no,NA,NA,NA,"AVT-PCC, Wageningen UR",,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,0.22,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,no,NA,NA,NA,"AVT-PCC, Wageningen UR",,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,0.44,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,no,NA,NA,NA,"AVT-PCC, Wageningen UR",,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,0.88,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,no,NA,NA,NA,"AVT-PCC, Wageningen UR",,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,1.8,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,no,NA,NA,NA,"AVT-PCC, Wageningen UR",,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,3.5,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,no,NA,NA,NA,"AVT-PCC, Wageningen UR",,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,7.0,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,no,NA,NA,NA,"AVT-PCC, Wageningen UR",,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,14.0,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,no,NA,NA,NA,"AVT-PCC, Wageningen UR",,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,32.0,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,no,NA,NA,NA,"AVT-PCC, Wageningen UR",,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,70.0,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,no,NA,NA,NA,"AVT-PCC, Wageningen UR",,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,150.0,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,yes,no,NA,NA,NA,"AVT-PCC, Wageningen UR",medium with fish kairomones from Perca fluviatilis,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,0.88,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,yes,no,NA,NA,NA,"AVT-PCC, Wageningen UR",medium with fish kairomones from Perca fluviatilis,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,1.8,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,yes,NA,NA,NA,"AVT-PCC, Wageningen UR",medium with fish kairomones from Perca fluviatilis,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,32,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Besseling2014,no,Daphnia magna,Daphnia,magna,NA,lab,,0.07,NA,70,NA,NA,spherical,nile red,yes,yes,carboxylated,negative,yes,no,yes,NA,NA,NA,"AVT-PCC, Wageningen UR",filtered,0,0,,Scenedesmus obliquus SAG 276/3A,yes,21,,no,NA,no,NA,504,21,NA,NA,32,NA,JB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," No detailed information given, average of motality was 27%; Control 18.8%; ""pristine PS was not lethal; aging of plastic with algae caused a 4.4-6 times higher mortality as compared to a diet without pre-exposure of the algae""; Furthermore there was a contamination of the aged plastic treatment with glass fibers which may has contributed to the higher mortality"
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA,0.086,NA,86,NA,NA,spherical,NA,no,no,NA,NA,no,no,no,NA,NA,NA,self synthesized,medium surface chemistries,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,0.01,NA,JB,6,0,0,0,5,30,0,30,3,0,0,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA,0.086,NA,86,NA,NA,spherical,NA,no,no,NA,NA,no,no,no,NA,NA,NA,self synthesized,medium surface chemistries,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,0.1,NA,JB,6,0,0,0,5,30,0,30,3,0,0,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA,0.086,NA,86,NA,NA,spherical,NA,no,no,NA,NA,no,no,no,NA,NA,NA,self synthesized,medium surface chemistries,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,1,NA,JB,6,0,0,0,5,30,0,30,3,0,0,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA,0.086,NA,86,NA,NA,spherical,NA,no,no,NA,NA,no,no,no,NA,NA,NA,self synthesized,medium surface chemistries,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,1000,NA,JB,6,0,0,0,5,30,0,30,3,0.0645,0.1161,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA,0.086,NA,86,NA,NA,spherical,NA,yes,no,NA,NA,no,no,no,NA,331,418,self synthesized,medium surface chemistries,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,0.01,NA,JB,6,0,0,0,5,30,0,30,3,0,0,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA,0.086,NA,86,NA,NA,spherical,NA,yes,no,NA,NA,no,no,no,NA,331,418,self synthesized,medium surface chemistries,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,0.1,NA,JB,6,0,0,0,5,30,0,30,3,0,0,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA,0.086,NA,86,NA,NA,spherical,NA,yes,no,NA,NA,no,no,no,NA,331,418,self synthesized,medium surface chemistries,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,1,NA,JB,6,0,0,0,5,30,0,30,3,0.0645,0,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA,0.086,NA,86,NA,NA,spherical,NA,yes,no,NA,NA,no,no,no,NA,331,418,self synthesized,medium surface chemistries,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,1000,NA,JB,6,0,0,0,5,30,0,30,3,0.0645,0.1161,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA-PSMA,0.125,NA,125,NA,NA,spherical,NA,no,no,NA,NA,no,no,no,NA,NA,NA,self synthesized,hydrophobic,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,0.01,NA,JB,6,0,0,0,5,30,0,30,3,0.8,0.2,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA-PSMA,0.125,NA,125,NA,NA,spherical,NA,no,no,NA,NA,no,no,no,NA,NA,NA,self synthesized,hydrophobic,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,0.1,NA,JB,6,0,0,0,5,30,0,30,3,0.4,0,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA-PSMA,0.125,NA,125,NA,NA,spherical,NA,no,no,NA,NA,no,no,no,NA,NA,NA,self synthesized,hydrophobic,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,1,NA,JB,6,0,0,0,5,30,0,30,3,0.335,0.11,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA-PSMA,0.125,NA,125,NA,NA,spherical,NA,no,no,NA,NA,no,no,no,NA,NA,NA,self synthesized,hydrophobic,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,1000,NA,JB,6,0,0,0,5,30,0,30,3,0.935,0.1161,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA-PSMA,0.125,NA,125,NA,NA,spherical,NA,yes,no,NA,NA,no,no,no,NA,331,418,self synthesized,hydrophobic,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,0.01,NA,JB,6,0,0,0,5,30,0,30,3,0,0,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA-PSMA,0.125,NA,125,NA,NA,spherical,NA,yes,no,NA,NA,no,no,no,NA,331,418,self synthesized,hydrophobic,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,0.1,NA,JB,6,0,0,0,5,30,0,30,3,0.0645,0.1161,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA-PSMA,0.125,NA,125,NA,NA,spherical,NA,yes,no,NA,NA,no,no,no,NA,331,418,self synthesized,hydrophobic,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,1,NA,JB,6,0,0,0,5,30,0,30,3,0.935,0.1161,NA,5,15,NA,NA,extracted from Figure 2
Booth 2016,yes,Daphnia magna,Daphnia,magna,"""starter culture originating from Denmark (purchased from NIVA)""",lab,PMMA-PSMA,0.125,NA,125,NA,NA,spherical,NA,yes,no,NA,NA,no,no,no,NA,331,418,self synthesized,hydrophobic,0,0,,Pseudokirchnerielle subcapitata,no,21,,no,NA,no,NA,48,2,NA,NA,1000,NA,JB,6,0,0,0,5,30,0,30,3,0.735,0.225,NA,5,15,NA,NA,extracted from Figure 2
Brun2017,no,Daphnia magna,Daphnia,magna,NA,lab,PS,0.025,NA,25,NA,NA,spherical,green,yes,no,NA,NA,no,no,no,NA,468,508,"ThermoFisher Scientific, USA",,NA,0,,Pseudokirchneriella subcapitata,yes,NA,,no,NA,no,NA,504,21,5.825E11,NA,5,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no mortality data; only state that mortality was not increased compared to control
Canniff2018,yes,Daphnia magna,Daphnia,magna,NA,lab,PE,69,NA,6.9e4,NA,NA,spherical,green,yes,no,NA,NA,no,no,no,1,470,NA,"Cospheric, USA","size range: 63 -75µm, mean between min and max used as size; density range: 0.99 - 1.01 (mean used as density)",7,0,,Raphidocelis subcapitata,yes,23,,no,NA,no,NA,504,21,1905.357,NA,25,NA,MM,4,0.075,0.0456,NA,10,40,NA,NA,4,0.2,0.0772,NA,10,40,NA,NA,"mean from text, sd from figure 3"
Canniff2018,yes,Daphnia magna,Daphnia,magna,NA,lab,PE,69,NA,6.9e4,NA,NA,spherical,green,yes,no,NA,NA,no,no,no,1,470,NA,"Cospheric, USA","size range: 63 -75µm, mean between min and max used as size; density range: 0.99 - 1.01 (mean used as density)",7,0,,Raphidocelis subcapitata,yes,23,,no,NA,no,NA,504,21,3810.714,NA,50,NA,MM,4,0.075,0.0456,NA,10,40,NA,NA,4,0.1,0.1368,NA,10,40,NA,NA,"mean from text, sd from figure 3"
Canniff2018,yes,Daphnia magna,Daphnia,magna,NA,lab,PE,69,NA,6.9e4,NA,NA,spherical,green,yes,no,NA,NA,no,no,no,1,470,NA,"Cospheric, USA","size range: 63 -75µm, mean between min and max used as size; density range: 0.99 - 1.01 (mean used as density)",7,0,,Raphidocelis subcapitata,yes,23,,no,NA,no,NA,504,21,7621.429,NA,100,NA,MM,4,0.075,0.0456,NA,10,40,NA,NA,4,0.1,0.0772,NA,10,40,NA,NA,"mean from text, sd from figure 3"
